Dataset,Description,Linear_R2,Linear_RMSE,Poly_R2,Poly_RMSE,RF_R2,RF_RMSE,GB_R2,GB_RMSE
T_3301,General government (S13),0.7793107287598076,48.154845394557114,0.675953917020265,58.35160023633012,-2.521893118315824,192.37005473669834,-1.8107033300424469,171.85290849961072
T_3302,Central government (S1311),0.6268237342870276,28.597287682178116,0.3285980131515587,38.35828203984896,-1.5246325386318036,74.38184125126878,-0.8811801906985735,64.20709713440888
T_3303,State government (S13111),-12.39864105802517,63.962190896503415,-0.12442718405370634,18.52928337091226,-10.228784493252888,58.5543720974721,-2.6914790749937754,33.573232677165706
T_3304,Miscellaneous bodies of centra,-36.776404656880665,18.526793094963914,-15.10602614587373,12.097179931996402,-34.25829997591771,17.89866438189813,-21.302605245200702,14.23533655156811
T_3305,Local government (S1313),0.20557430902378226,17.750643687335593,0.05182998169629294,19.392356011032906,-2.575361781890218,37.65715127281274,-2.1781939317661294,35.50403093172163
T_3306,Social security funds (S1314),0.8400929784929928,17.871774972546685,0.7292439598322356,23.255356280197862,-3.312956818510405,92.8157066482774,-2.6611122182619926,85.51463392525983
